date,sessions
2017-07-21,6
2017-07-22,6
2017-07-23,7
2017-07-24,4
2017-07-25,8
2017-07-26,5
2017-07-27,7
2017-07-28,4
2017-07-29,7
2017-07-30,7
2017-07-31,5
2017-08-01,9
2017-08-02,4
2017-08-03,8
2017-08-04,4
2017-08-05,4
2017-08-06,3
2017-08-07,5
2017-08-08,8
2017-08-09,8
2017-08-10,5
2017-08-11,6
2017-08-12,4
2017-08-13,2
2017-08-14,6
2017-08-15,4
2017-08-16,6
2017-08-17,8
2017-08-18,7
2017-08-19,4
2017-08-20,9
2017-08-21,11
2017-08-22,20
2017-08-23,566
2017-08-24,525
2017-08-25,472
2017-08-26,103
2017-08-27,128
2017-08-28,692
2017-08-29,673
2017-08-30,598
2017-08-31,624
2017-09-01,463
2017-09-02,121
2017-09-03,119
2017-09-04,27
2017-09-05,769
2017-09-06,862
2017-09-07,608
2017-09-08,514
2017-09-09,126
2017-09-10,157
2017-09-11,645
2017-09-12,717
2017-09-13,845
2017-09-14,511
2017-09-15,513
2017-09-16,91
2017-09-17,137
2017-09-18,576
2017-09-19,719
2017-09-20,589
2017-09-21,662
2017-09-22,473
2017-09-23,102
2017-09-24,67
2017-09-25,589
2017-09-26,547
2017-09-27,249
2017-09-28,622
2017-09-29,480
2017-09-30,119
2017-10-01,170
2017-10-02,643
2017-10-03,689
2017-10-04,537
2017-10-05,552
2017-10-06,398
2017-10-07,93
2017-10-08,109
2017-10-09,628
2017-10-10,590
2017-10-11,800
2017-10-12,584
2017-10-13,372
2017-10-14,105
2017-10-15,123
2017-10-16,481
2017-10-17,624
2017-10-18,542
2017-10-19,475
2017-10-20,380
2017-10-21,70
2017-10-22,101
2017-10-23,639
2017-10-24,637
2017-10-25,538
2017-10-26,603
2017-10-27,420
2017-10-28,91
2017-10-29,121
